timestamp,cpu_percent,memory_percent,disk_io_read,disk_io_write,network_sent,network_received,processing_rate,success_rate,error_rate,active_threads
2025-03-18 22:31:17,11.0,54.3,0,4096,0,2048,0.0,1.0,0.0,4
2025-03-18 22:31:22,8.9,54.3,0,1400832,140288,23552,0.0,1.0,0.0,4
2025-03-18 22:31:27,17.7,54.3,0,1708032,156672,267264,0.0,1.0,0.0,4
2025-03-18 22:31:32,20.0,54.4,49152,1904640,279552,23552,0.0,1.0,0.0,4
2025-03-18 22:31:37,8.3,54.4,0,4325376,303104,32768,0.0,1.0,0.0,4
2025-03-18 22:31:42,17.5,54.3,8192,3112960,17408,28672,0.0,1.0,0.0,4
2025-03-18 22:31:47,8.1,54.3,4096,7213056,221184,23552,0.0,1.0,0.0,4
2025-03-18 22:31:52,10.5,54.1,0,2146304,12288,157696,0.0,1.0,0.0,4
2025-03-18 22:31:57,13.0,54.2,0,1933312,221184,23552,0.0,1.0,0.0,4
2025-03-18 22:32:03,11.9,53.8,0,1597440,14336,17408,0.0,1.0,0.0,4
2025-03-18 22:32:08,12.5,54.4,24576,3911680,220160,33792,0.0,1.0,0.0,4
2025-03-18 22:32:13,20.3,54.0,4096,1789952,15360,20480,0.0,1.0,0.0,4
2025-03-18 22:32:18,47.6,54.4,52240384,6914048,222208,25600,0.0,1.0,0.0,4
2025-03-18 22:32:23,11.1,54.5,12050432,13524992,9216,36864,0.0,1.0,0.0,4
2025-03-18 22:32:28,11.7,54.5,274432,261992448,222208,96171008,0.0,1.0,0.0,4
2025-03-18 22:32:33,13.0,54.2,307200,87150592,176128,82471936,0.0,1.0,0.0,4
2025-03-18 22:32:38,30.2,54.4,233472,512622592,145408,72932352,0.0,1.0,0.0,4
2025-03-18 22:32:43,12.0,54.5,368640,68247552,257024,39936,0.0,1.0,0.0,4
2025-03-18 22:32:49,15.6,55.1,6287360,4509696,282624,1405952,0.0,1.0,0.0,4
2025-03-18 22:32:54,22.0,55.4,17068032,7462912,100352,394240,0.0,1.0,0.0,4
2025-03-18 22:32:59,44.3,55.3,253952,5181440,27648,31744,0.0,1.0,0.0,4
2025-03-18 22:33:04,12.6,55.3,802816,5267456,349184,77824,0.0,1.0,0.0,4
2025-03-18 22:33:09,25.8,55.0,3731456,2121728,25600,20480,0.0,1.0,0.0,4
2025-03-18 22:33:14,16.1,55.0,2912256,20570112,332800,30720,0.0,1.0,0.0,4
2025-03-18 22:33:19,18.4,55.0,1245184,729088,4096,11264,0.0,1.0,0.0,4
2025-03-18 22:33:24,10.3,55.1,4096,4571136,24576,50176,0.0,1.0,0.0,4
2025-03-18 22:33:29,7.4,55.2,94208,2740224,29696,68608,0.0,1.0,0.0,4
2025-03-18 22:33:35,11.3,55.0,70033408,5038080,399360,18432,0.0,1.0,0.0,4
2025-03-18 22:33:40,8.8,55.1,221184,6213632,12288,24576,0.0,1.0,0.0,4
2025-03-18 22:33:45,11.1,55.0,106496,3997696,24576,22528,0.0,1.0,0.0,4
2025-03-18 22:33:50,5.8,55.0,28672,2953216,9216,7168,0.0,1.0,0.0,4
2025-03-18 22:33:55,4.7,55.0,36864,1470464,1024,5120,0.0,1.0,0.0,4
2025-03-18 22:34:00,6.5,55.0,16384,278528,7168,3072,0.0,1.0,0.0,4
2025-03-18 22:34:05,12.2,55.0,4096,98304,89088,102400,0.0,1.0,0.0,4
2025-03-18 22:34:10,10.3,54.8,606208,2985984,139264,1914880,0.0,1.0,0.0,4
2025-03-18 22:34:15,10.9,54.9,1097728,10350592,6144,13312,0.0,1.0,0.0,4
2025-03-18 22:34:21,59.8,55.0,118784,3297280,9216,12288,0.0,1.0,0.0,4
2025-03-18 22:34:26,13.7,54.8,114688,2805760,441344,62464,0.0,1.0,0.0,4
2025-03-18 22:34:31,48.8,55.1,471040,4927488,12288,37888,0.0,1.0,0.0,4
2025-03-18 22:34:36,35.8,55.2,21463040,2539520,25600,16384,0.0,1.0,0.0,4
2025-03-18 22:34:41,10.4,55.1,34111488,8237056,2632704,123904,0.0,1.0,0.0,4
2025-03-18 22:34:46,12.8,54.6,102400,14295040,37888,15360,0.0,1.0,0.0,4
2025-03-18 22:34:51,15.3,54.9,2211840,2695168,721920,36864,0.0,1.0,0.0,4
2025-03-18 22:34:56,13.9,55.1,0,2719744,5120,11264,0.0,1.0,0.0,4
2025-03-18 22:35:01,18.4,54.9,57344,1490944,19456,49152,0.0,1.0,0.0,4
2025-03-18 22:35:07,39.2,55.0,17506304,95162368,761856,137216,0.0,1.0,0.0,4
2025-03-18 22:35:12,13.3,55.0,106496,2850816,1429504,41984,0.0,1.0,0.0,4
2025-03-18 22:35:17,17.9,55.0,24576,8146944,1271808,74752,0.0,1.0,0.0,4
2025-03-18 22:35:22,16.8,55.1,327680,5955584,760832,59392,0.0,1.0,0.0,4
2025-03-18 22:35:27,35.2,55.2,4075520,2371584,44032,37888,0.0,1.0,0.0,4
2025-03-18 22:35:32,11.2,55.2,2994176,8835072,680960,329728,0.0,1.0,0.0,4
2025-03-18 22:35:37,11.7,54.9,3186688,5038080,26624,23552,0.0,1.0,0.0,4
2025-03-18 22:35:42,30.2,55.2,634880,4562944,29696,26624,0.0,1.0,0.0,4
2025-03-18 22:35:47,25.6,55.2,786432,9752576,11264,11264,0.0,1.0,0.0,4
2025-03-18 22:35:53,4.8,55.1,0,3014656,4096,5120,0.0,1.0,0.0,4
2025-03-18 22:35:58,10.4,55.0,12288,5939200,695296,31744,0.0,1.0,0.0,4
2025-03-18 22:36:03,0.0,55.2,53641216,13541376,2048,8192,0.0,1.0,0.0,4
2025-03-18 22:36:08,10.3,54.8,90013696,23252992,755712,1801216,0.0,1.0,0.0,4
2025-03-18 22:36:13,14.3,54.6,421888,6938624,17408,27648,0.0,1.0,0.0,4
2025-03-18 22:36:18,9.2,54.6,20480,1175552,14336,20480,0.0,1.0,0.0,4
2025-03-18 22:36:23,13.7,54.4,61440,1019904,11264,23552,0.0,1.0,0.0,4
2025-03-18 22:36:28,14.5,54.8,1683456,3403776,37888,58368,0.0,1.0,0.0,4
2025-03-18 22:36:33,5.8,54.8,380928,2871296,23552,55296,0.0,1.0,0.0,4
2025-03-18 22:36:38,18.5,54.8,700416,10887168,52224,303104,0.0,1.0,0.0,4
2025-03-18 22:36:44,7.3,54.8,65536,5439488,2048,5120,0.0,1.0,0.0,4
2025-03-18 22:36:49,8.2,54.8,20480,643072,4096,3072,0.0,1.0,0.0,4
2025-03-18 22:36:54,24.6,54.9,4222976,1773568,7168,149504,0.0,1.0,0.0,4
2025-03-18 22:36:59,12.2,54.7,16384,5496832,604160,39936,0.0,1.0,0.0,4
2025-03-18 22:37:04,38.2,54.9,147456,6418432,24576,37888,0.0,1.0,0.0,4
2025-03-18 22:37:09,10.6,54.9,57344,7692288,748544,116736,0.0,1.0,0.0,4
2025-03-18 22:37:14,44.4,54.9,987136,12947456,55296,96256,0.0,1.0,0.0,4
2025-03-18 22:37:19,8.0,54.8,1654784,19877888,827392,1704960,0.0,1.0,0.0,4
2025-03-18 22:37:24,8.1,54.5,0,3153920,24576,149504,0.0,1.0,0.0,4
2025-03-18 22:37:30,8.7,54.6,1081344,569344,4096,22528,0.0,1.0,0.0,4
2025-03-18 22:37:35,24.2,55.0,1167360,6205440,10240,19456,0.0,1.0,0.0,4
2025-03-18 22:37:40,7.4,54.5,778240,7888896,25600,21504,0.0,1.0,0.0,4
2025-03-18 22:37:45,20.0,54.7,229376,8892416,51200,299008,0.0,1.0,0.0,4
2025-03-18 22:37:50,12.1,54.6,102400,1478656,11264,20480,0.0,1.0,0.0,4
2025-03-18 22:37:55,8.0,54.7,499712,2306048,4096,6144,0.0,1.0,0.0,4
2025-03-18 22:38:00,3.9,54.3,0,32768,3072,8192,0.0,1.0,0.0,4
2025-03-18 22:38:05,27.6,54.2,5439488,5566464,5120,27648,0.0,1.0,0.0,4
2025-03-18 22:38:10,21.7,55.1,58191872,14348288,492544,66560,0.0,1.0,0.0,4
2025-03-18 22:38:16,0.9,55.1,18083840,8597504,16384,40960,0.0,1.0,0.0,4
2025-03-18 22:38:21,3.8,54.8,106496,155648,2048,5120,0.0,1.0,0.0,4
2025-03-18 22:38:26,1.7,54.9,335872,3448832,32768,43008,0.0,1.0,0.0,4
2025-03-18 22:38:31,1.6,55.0,1781760,1740800,44032,106496,0.0,1.0,0.0,4
2025-03-18 22:38:36,14.4,55.1,516096,6352896,21504,36864,0.0,1.0,0.0,4
2025-03-18 22:38:41,9.8,55.0,294912,2408448,32768,53248,0.0,1.0,0.0,4
2025-03-18 22:38:46,11.4,55.1,2084864,16916480,172032,1740800,0.0,1.0,0.0,4
2025-03-18 22:38:51,29.2,55.0,1081344,5017600,73728,431104,0.0,1.0,0.0,4
2025-03-18 22:38:56,30.4,54.9,11509760,4681728,7168,21504,0.0,1.0,0.0,4
2025-03-18 22:39:02,15.6,54.9,7274496,1347584,23552,151552,0.0,1.0,0.0,4
2025-03-18 22:39:07,16.0,54.8,122880,1343488,6144,26624,0.0,1.0,0.0,4
2025-03-18 22:39:12,0.0,54.7,57344,1662976,9216,11264,0.0,1.0,0.0,4
2025-03-18 22:39:17,7.4,55.3,35610624,25190400,564224,180224,0.0,1.0,0.0,4
2025-03-18 22:39:22,3.3,54.8,37126144,339968,9216,16384,0.0,1.0,0.0,4
2025-03-18 22:39:27,11.3,54.5,155648,2043904,20480,18432,0.0,1.0,0.0,4
2025-03-18 22:39:32,3.9,54.8,4386816,7483392,45056,201728,0.0,1.0,0.0,4
2025-03-18 22:39:37,3.2,54.7,1822720,1417216,5120,7168,0.0,1.0,0.0,4
2025-03-18 22:39:42,20.8,54.8,14548992,1351680,6144,16384,0.0,1.0,0.0,4
2025-03-18 22:39:48,6.5,54.7,1122304,8409088,40960,171008,0.0,1.0,0.0,4
2025-03-18 22:39:53,5.9,54.3,53248,2732032,7168,34816,0.0,1.0,0.0,4
2025-03-18 22:39:58,13.7,55.3,3952640,7315456,141312,1168384,0.0,1.0,0.0,4
2025-03-18 22:40:03,7.4,54.9,442368,3780608,44032,316416,0.0,1.0,0.0,4
2025-03-18 22:40:08,3.9,54.9,90112,2170880,13312,27648,0.0,1.0,0.0,4
2025-03-18 22:40:13,36.5,54.8,1781760,10305536,96256,188416,0.0,1.0,0.0,4
2025-03-18 22:40:18,8.3,54.6,176128,1122304,41984,104448,0.0,1.0,0.0,4
2025-03-18 22:40:23,10.9,54.6,0,2039808,28672,155648,0.0,1.0,0.0,4
2025-03-18 22:40:28,9.4,54.7,49152,204800,30720,90112,0.0,1.0,0.0,4
2025-03-18 22:40:33,11.7,54.3,3194880,2691072,8192,10240,0.0,1.0,0.0,4
2025-03-18 22:40:39,22.2,54.8,29843456,13684736,82944,218112,0.0,1.0,0.0,4
2025-03-18 22:40:44,1.6,54.5,2035712,13430784,31744,109568,0.0,1.0,0.0,4
2025-03-18 22:40:49,0.8,54.9,81920,1249280,21504,149504,0.0,1.0,0.0,4
2025-03-18 22:40:54,18.3,54.8,16384,5332992,28672,166912,0.0,1.0,0.0,4
